id,Y
49999,1
50000,1
50001,0
50002,0
50003,0
50004,0
50005,1
50006,1
50007,1
50008,1
50009,0
50010,1
50011,1
50012,0
50013,0
50014,0
50015,1
50016,1
50017,1
50018,1
50019,1
50020,1
50021,1
50022,0
50023,1
50024,0
50025,1
50026,1
50027,0
50028,1
50029,0
50030,1
50031,1
50032,0
50033,0
50034,1
50035,1
50036,0
50037,1
50038,1
50039,1
50040,1
50041,0
50042,1
50043,1
50044,1
50045,0
50046,0
50047,1
50048,0
50049,1
50050,1
50051,1
50052,1
50053,1
50054,0
50055,0
50056,0
50057,1
50058,1
50059,0
50060,1
50061,1
50062,0
50063,0
50064,0
50065,1
50066,1
50067,0
50068,0
50069,1
50070,1
50071,0
50072,0
50073,1
50074,1
50075,0
50076,1
50077,0
50078,0
50079,1
50080,0
50081,1
50082,1
50083,1
50084,1
50085,0
50086,0
50087,0
50088,1
50089,0
50090,1
50091,1
50092,1
50093,0
50094,0
50095,0
50096,0
50097,1
50098,0
50099,1
50100,1
50101,0
50102,1
50103,1
50104,0
50105,1
50106,1
50107,0
50108,1
50109,1
50110,1
50111,1
50112,1
50113,0
50114,0
50115,0
50116,0
50117,0
50118,1
50119,0
50120,1
50121,0
50122,0
50123,0
50124,1
50125,0
50126,0
50127,1
50128,1
50129,1
50130,0
50131,1
50132,1
50133,1
50134,0
50135,1
50136,1
50137,0
50138,0
50139,0
50140,0
50141,1
50142,0
50143,1
50144,0
50145,1
50146,1
50147,0
50148,1
50149,1
50150,1
50151,1
50152,1
50153,0
50154,0
50155,1
50156,1
50157,0
50158,0
50159,0
50160,1
50161,1
50162,1
50163,1
50164,0
50165,0
50166,1
50167,0
50168,0
50169,1
50170,0
50171,0
50172,0
50173,0
50174,1
50175,1
50176,0
50177,0
50178,0
50179,1
50180,0
50181,0
50182,0
50183,1
50184,1
50185,1
50186,0
50187,0
50188,1
50189,0
50190,1
50191,0
50192,0
50193,1
50194,0
50195,1
50196,0
50197,0
50198,0
50199,1
50200,1
50201,0
50202,1
50203,1
50204,1
50205,0
50206,0
50207,0
50208,0
50209,1
50210,0
50211,1
50212,1
50213,0
50214,0
50215,0
50216,0
50217,1
50218,1
50219,1
50220,1
50221,1
50222,1
50223,0
50224,1
50225,0
50226,1
50227,0
50228,0
50229,0
50230,1
50231,1
50232,0
50233,0
50234,1
50235,1
50236,1
50237,1
50238,0
50239,1
50240,0
50241,1
50242,1
50243,0
50244,1
50245,0
50246,0
50247,1
50248,1
50249,1
50250,1
50251,0
50252,0
50253,0
50254,0
50255,1
50256,0
50257,1
50258,1
50259,1
50260,0
50261,1
50262,1
50263,1
50264,0
50265,0
50266,0
50267,0
50268,0
50269,0
50270,1
50271,0
50272,0
50273,1
50274,0
50275,1
50276,1
50277,1
50278,1
50279,0
50280,1
50281,1
50282,1
50283,1
50284,0
50285,0
50286,0
50287,1
50288,0
50289,0
50290,1
50291,0
50292,0
50293,1
50294,0
50295,1
50296,0
50297,1
50298,1
50299,0
50300,1
50301,0
50302,0
50303,0
50304,1
50305,1
50306,1
50307,1
50308,0
50309,0
50310,0
50311,0
50312,0
50313,1
50314,1
50315,0
50316,0
50317,1
50318,0
50319,1
50320,1
50321,0
50322,1
50323,0
50324,0
50325,1
50326,0
50327,0
50328,0
50329,0
50330,0
50331,1
50332,1
50333,1
50334,0
50335,0
50336,1
50337,0
50338,1
50339,1
50340,0
50341,1
50342,0
50343,1
50344,1
50345,1
50346,1
50347,0
50348,0
50349,1
50350,0
50351,1
50352,1
50353,0
50354,0
50355,1
50356,1
50357,1
50358,1
50359,0
50360,1
50361,0
50362,1
50363,0
50364,0
50365,1
50366,0
50367,0
50368,0
50369,1
50370,1
50371,0
50372,0
50373,1
50374,0
50375,1
50376,1
50377,0
50378,1
50379,1
50380,0
50381,1
50382,1
50383,0
50384,1
50385,0
50386,0
50387,0
50388,0
50389,1
50390,1
50391,0
50392,1
50393,1
50394,0
50395,1
50396,1
50397,1
50398,1
50399,1
50400,1
50401,0
50402,1
50403,0
50404,1
50405,1
50406,0
50407,0
50408,0
50409,1
50410,1
50411,1
50412,1
50413,1
50414,0
50415,0
50416,1
50417,0
50418,0
50419,0
50420,0
50421,0
50422,1
50423,1
50424,1
50425,1
50426,0
50427,0
50428,0
50429,0
50430,1
50431,0
50432,1
50433,1
50434,0
50435,1
50436,1
50437,1
50438,1
50439,1
50440,0
50441,0
50442,1
50443,1
50444,1
50445,0
50446,0
50447,1
50448,0
50449,0
50450,0
50451,1
50452,0
50453,1
50454,1
50455,1
50456,0
50457,1
50458,0
50459,1
50460,1
50461,0
50462,0
50463,1
50464,0
50465,1
50466,1
50467,0
50468,1
50469,1
50470,1
50471,0
50472,1
50473,1
50474,1
50475,1
50476,0
50477,1
50478,1
50479,0
50480,1
50481,1
50482,0
50483,1
50484,1
50485,1
50486,1
50487,0
50488,1
50489,0
50490,1
50491,1
50492,1
50493,1
50494,1
50495,1
50496,1
50497,1
50498,0
50499,0
50500,0
50501,1
50502,1
50503,0
50504,0
50505,1
50506,0
50507,1
50508,0
50509,1
50510,1
50511,1
50512,0
50513,0
50514,1
50515,1
50516,0
50517,0
50518,1
50519,0
50520,1
50521,0
50522,1
50523,1
50524,1
50525,1
50526,1
50527,1
50528,1
50529,1
50530,1
50531,1
50532,0
50533,0
50534,1
50535,0
50536,1
50537,1
50538,0
50539,0
50540,0
50541,1
50542,0
50543,0
50544,0
50545,0
50546,0
50547,1
50548,1
50549,0
50550,1
50551,0
50552,1
50553,0
50554,0
50555,0
50556,0
50557,1
50558,0
50559,0
50560,1
50561,1
50562,0
50563,0
50564,1
50565,0
50566,1
50567,1
50568,0
50569,0
50570,1
50571,1
50572,1
50573,1
50574,1
50575,0
50576,1
50577,1
50578,1
50579,0
50580,0
50581,1
50582,1
50583,0
50584,0
50585,0
50586,1
50587,1
50588,0
50589,0
50590,0
50591,1
50592,1
50593,0
50594,1
50595,1
50596,0
50597,0
50598,0
50599,1
50600,1
50601,1
50602,1
50603,1
50604,1
50605,0
50606,0
50607,1
50608,1
50609,1
50610,1
50611,1
50612,1
50613,1
50614,1
50615,0
50616,0
50617,0
50618,1
50619,1
50620,1
50621,1
50622,1
50623,1
50624,1
50625,1
50626,1
50627,0
50628,0
50629,1
50630,1
50631,1
50632,0
50633,1
50634,1
50635,0
50636,1
50637,1
50638,1
50639,1
50640,1
50641,0
50642,0
50643,1
50644,1
50645,1
50646,0
50647,0
50648,1
50649,0
50650,1
50651,1
50652,0
50653,0
50654,0
50655,1
50656,1
50657,1
50658,1
50659,1
50660,0
50661,1
50662,0
50663,1
50664,0
50665,1
50666,0
50667,1
50668,0
50669,0
50670,1
50671,1
50672,1
50673,0
50674,1
50675,0
50676,1
50677,1
50678,1
50679,0
50680,0
50681,1
50682,0
50683,1
50684,1
50685,1
50686,1
50687,1
50688,1
50689,0
50690,1
50691,0
50692,0
50693,0
50694,1
50695,1
50696,1
50697,0
50698,1
50699,1
50700,0
50701,0
50702,1
50703,0
50704,1
50705,1
50706,0
50707,0
50708,1
50709,1
50710,1
50711,0
50712,1
50713,0
50714,0
50715,0
50716,0
50717,1
50718,1
50719,0
50720,1
50721,0
50722,1
50723,1
50724,0
50725,1
50726,0
50727,1
50728,0
50729,0
50730,1
50731,0
50732,1
50733,0
50734,1
50735,0
50736,0
50737,0
50738,0
50739,1
50740,1
50741,1
50742,0
50743,1
50744,1
50745,1
50746,1
50747,1
50748,1
50749,1
50750,0
50751,1
50752,0
50753,1
50754,1
50755,0
50756,1
50757,0
50758,0
50759,1
50760,1
50761,0
50762,0
50763,0
50764,1
50765,0
50766,1
50767,0
50768,0
50769,1
50770,1
50771,1
50772,0
50773,0
50774,0
50775,0
50776,0
50777,0
50778,0
50779,0
50780,1
50781,0
50782,0
50783,0
50784,0
50785,0
50786,0
50787,1
50788,1
50789,0
50790,1
50791,0
50792,1
50793,1
50794,0
50795,0
50796,1
50797,1
50798,1
50799,1
50800,1
50801,0
50802,0
50803,0
50804,0
50805,1
50806,0
50807,1
50808,0
50809,1
50810,1
50811,0
50812,0
50813,1
50814,1
50815,0
50816,1
50817,1
50818,0
50819,0
50820,1
50821,0
50822,0
50823,0
50824,0
50825,0
50826,1
50827,1
50828,1
50829,1
50830,1
50831,0
50832,0
50833,1
50834,1
50835,0
50836,1
50837,0
50838,0
50839,0
50840,0
50841,0
50842,0
50843,1
50844,0
50845,0
50846,0
50847,1
50848,1
50849,0
50850,0
50851,1
50852,0
